Date,cbp_apprehended,cbp_custody,cbp_transferred,hhs_care,hhs_discharged,weekday,month,transfer_efficiency_ratio,discharge_effectiveness_index,pipeline_throughput,net_hhs_backlog,net_system_pressure,hhs_care_change,cbp_custody_change,rolling_7d_transfers,rolling_7d_discharges,rolling_7d_transfer_eff,rolling_7d_discharge_eff,rolling_14d_backlog,outcome_stability_score,transfer_delay_flag,discharge_delay_flag,backlog_alert_flag
2023-01-12,33.0,53.0,34.0,6566,436.0,Thursday,2023-01,0.6415094339622641,0.06640268047517514,13.212121212121213,-402.0,-403.0,,,34.0,436.0,,,,,False,False,False
2023-01-22,32.0,49.0,39.0,7122,227.0,Sunday,2023-01,0.7959183673469388,0.031873069362538614,7.09375,-188.0,-195.0,556.0,-4.0,36.5,331.5,,,,,False,False,False
2023-01-23,32.0,50.0,39.0,7280,181.0,Monday,2023-01,0.78,0.02486263736263736,5.65625,-142.0,-149.0,158.0,1.0,37.333333333333336,281.3333333333333,0.7391426004364009,0.041046129066783704,-732.0,,False,False,False
2023-01-24,47.0,42.0,47.0,7433,175.0,Tuesday,2023-01,1.119047619047619,0.023543656666218216,3.723404255319149,-128.0,-128.0,153.0,-8.0,39.75,254.75,0.8341188550892055,0.03667051096664233,-860.0,,False,False,False
2023-01-25,20.0,22.0,41.0,7538,180.0,Wednesday,2023-01,1.8636363636363635,0.02387901300079597,9.0,-139.0,-160.0,105.0,-20.0,40.0,239.8,1.040022356798637,0.03411221137347306,-999.0,,False,False,False
2023-01-29,23.0,45.0,11.0,7472,303.0,Sunday,2023-01,0.24444444444444444,0.04055139186295503,13.173913043478262,-292.0,-280.0,-66.0,23.0,35.166666666666664,250.33333333333334,0.9074260380729383,0.03518540812172006,-1291.0,,True,False,False
2023-01-30,34.0,54.0,29.0,7743,196.0,Monday,2023-01,0.5370370370370371,0.025313186103577426,5.764705882352941,-167.0,-162.0,271.0,9.0,34.285714285714285,242.57142857142858,0.8545133236392382,0.03377509069055682,-1458.0,,False,False,False
2023-01-31,26.0,36.0,36.0,7803,158.0,Tuesday,2023-01,1.0,0.020248622324746893,6.076923076923077,-122.0,-132.0,60.0,-18.0,34.57142857142857,202.85714285714286,0.905726261644629,0.027181653811924215,-1580.0,,False,False,False
2023-02-01,25.0,32.0,27.0,7903,231.0,Wednesday,2023-02,0.84375,0.029229406554472984,9.24,-204.0,-206.0,100.0,-4.0,32.857142857142854,203.42857142857142,0.9125593520236378,0.02680398769648627,-1784.0,,False,False,False
2023-02-02,15.0,13.0,23.0,7879,298.0,Thursday,2023-02,1.7692307692307692,0.03782205863688285,19.866666666666667,-275.0,-283.0,-24.0,-19.0,30.571428571428573,220.14285714285714,1.053878033342319,0.028655333592807055,-2059.0,70.39562611817028,False,False,False
2023-02-05,16.0,18.0,15.0,7586,342.0,Sunday,2023-02,0.8333333333333334,0.04508304771948326,21.375,-327.0,-326.0,-293.0,5.0,26.0,244.0,1.013061706811707,0.0317323894575592,-2386.0,71.33619494726823,False,False,False
2023-02-06,11.0,22.0,12.0,7720,196.0,Monday,2023-02,0.5454545454545454,0.02538860103626943,17.818181818181817,-184.0,-185.0,134.0,4.0,21.857142857142858,246.28571428571428,0.8247500185000184,0.03194804489119827,-2570.0,71.55571585448983,False,False,False
2023-02-07,16.0,20.0,20.0,7855,200.0,Tuesday,2023-02,1.0,0.025461489497135583,12.5,-180.0,-184.0,135.0,-2.0,23.142857142857142,231.57142857142858,0.9326865264365265,0.02979234455322406,-2750.0,71.81549538947135,False,False,False
2023-02-08,93.0,196.0,169.0,7915,317.0,Wednesday,2023-02,0.8622448979591837,0.04005053695514845,3.4086021505376345,-148.0,-224.0,60.0,176.0,43.142857142857146,248.85714285714286,0.9791447922825472,0.03189768038916278,-2898.0,72.67214600067003,False,False,False
2023-02-09,124.0,234.0,161.0,7908,353.0,Thursday,2023-02,0.688034188034188,0.044638340920586744,2.846774193548387,-192.0,-229.0,-7.0,38.0,61.0,276.7142857142857,0.9345782477160027,0.03538192590285418,-2688.0,73.24368477525502,False,False,False
2023-02-12,92.0,203.0,173.0,7434,317.0,Sunday,2023-02,0.8522167487684729,0.042641915523271456,3.4456521739130435,-144.0,-225.0,-474.0,-31.0,81.85714285714286,289.0,0.9357877832543561,0.037297998612682536,-2644.0,73.89291063761523,False,False,False
2023-02-13,186.0,259.0,172.0,7483,244.0,Monday,2023-02,0.6640926640926641,0.03260724308432447,1.3118279569892473,-72.0,-58.0,49.0,56.0,103.14285714285714,281.2857142857143,0.7779109110917697,0.036553024962317056,-2574.0,74.44868520656259,False,False,False
2023-02-14,154.0,225.0,220.0,7794,223.0,Tuesday,2023-02,0.9777777777777777,0.02861175263022838,1.448051948051948,-3.0,-69.0,311.0,-34.0,132.42857142857142,264.2857142857143,0.7985458317266902,0.03419998280670922,-2449.0,74.7311309730421,False,False,False
2023-02-15,91.0,199.0,172.0,7869,290.0,Wednesday,2023-02,0.864321608040201,0.036853475663997964,3.1868131868131866,-118.0,-199.0,75.0,-26.0,155.28571428571428,277.7142857142857,0.8440982692389268,0.035837822039241865,-2428.0,75.31835687142122,False,False,False
2023-02-16,81.0,213.0,153.0,7793,361.0,Thursday,2023-02,0.7183098591549296,0.046323623764917235,4.45679012345679,-208.0,-280.0,-76.0,14.0,174.28571428571428,300.7142857142857,0.8038568205467739,0.03881812693463924,-2344.0,75.56798692645987,False,False,False
2023-02-20,209.0,285.0,184.0,7817,209.0,Monday,2023-02,0.6456140350877193,0.02673659971856211,1.0,-25.0,0.0,24.0,72.0,176.42857142857142,285.2857142857143,0.772909554422279,0.036916135900841196,-2202.0,75.61666866279245,False,False,False
2023-02-21,184.0,314.0,217.0,7967,213.0,Tuesday,2023-02,0.6910828025477707,0.02673528304255052,1.1576086956521738,4.0,-29.0,150.0,29.0,184.42857142857142,265.2857142857143,0.7733450707813622,0.034358556203978874,-2076.0,75.68336658207019,False,False,False
2023-02-22,107.0,215.0,230.0,7978,232.0,Wednesday,2023-02,1.069767441860465,0.029079969917272498,2.1682242990654204,-2.0,-125.0,11.0,-99.0,192.57142857142858,253.14285714285714,0.8044237412230755,0.03242113540312188,-1874.0,75.91693968497933,False,False,False
2023-02-23,101.0,162.0,178.0,7914,386.0,Thursday,2023-02,1.0987654320987654,0.04877432398281526,3.8217821782178216,-208.0,-285.0,-64.0,-53.0,193.42857142857142,273.42857142857144,0.8665198509382327,0.03473071838862057,-1807.0,75.89612734759994,False,False,False
2023-02-26,99.0,190.0,176.0,7609,323.0,Sunday,2023-02,0.9263157894736842,0.04244973058220528,3.2626262626262625,-147.0,-224.0,-305.0,28.0,187.14285714285714,287.7142857142857,0.8591681383233621,0.03670757238176013,-1627.0,76.24473192003558,False,False,False
2023-02-27,167.0,239.0,166.0,7800,248.0,Monday,2023-02,0.694560669456067,0.031794871794871796,1.4850299401197604,-82.0,-81.0,191.0,49.0,186.28571428571428,281.7142857142857,0.8349165756684859,0.03598491468617067,-1525.0,76.53189001896294,False,False,False
2023-02-28,115.0,216.0,169.0,7896,200.0,Tuesday,2023-02,0.7824074074074074,0.025329280648429583,1.7391304347826086,-31.0,-85.0,96.0,-23.0,188.57142857142858,258.7142857142857,0.8440733682759827,0.03298572281238672,-1376.0,76.45015667601383,False,False,False
2023-03-01,84.0,158.0,193.0,7930,307.0,Wednesday,2023-03,1.2215189873417722,0.03871374527112232,3.6547619047619047,-114.0,-223.0,34.0,-58.0,189.85714285714286,272.7142857142857,0.926345504312276,0.034696743605609606,-1342.0,76.81114739230017,False,False,False
