Date,cbp_apprehended,cbp_transferred,hhs_discharged,hhs_care,net_hhs_backlog,rolling_14d_backlog
2024-05-02,206.0,293.0,194.0,7577,99.0,1100.0
2024-02-25,244.0,366.0,329.0,8404,37.0,1032.0
2024-05-08,167.0,205.0,202.0,7583,3.0,1016.0
2024-05-07,176.0,246.0,163.0,7566,83.0,1011.0
2024-05-05,150.0,228.0,332.0,7447,-104.0,1011.0
2024-05-06,173.0,211.0,205.0,7449,6.0,975.0
2024-05-01,197.0,295.0,190.0,7508,105.0,954.0
2024-05-09,138.0,268.0,244.0,7570,24.0,937.0
2024-02-26,199.0,326.0,329.0,8404,-3.0,926.0
2024-05-12,138.0,263.0,245.0,7464,18.0,918.0
